id,title,description,price,currency,condition,category_hint,brand,size,color,gender,material,sku,quantity,images,location_country,location_postcode,location_city,location_region,shipping_pickup,shipping_carriers,shipping_buyer_pays_shipping,tweedehands_location_country,tweedehands_location_postcode,tweedehands_location_city
neewer_nw12_shield,"Neewer NW-12 Microfoon Isolatieschild met Klem","Compact isolatieschild in studiokwaliteit voor heldere opnames. De set bevat de klem en handleiding en is nooit gebruikt, ideaal voor podcasts, zang of voice-overs in een thuisstudio.",40,EUR,nieuw_zonder_kaartje,audio_accessoires,Neewer,One size,"zwart|zilver",unisex,"schuim|metaal","NW-12",1,"neewer_nw12/DJI_20251016163627_0001_D.JPG|neewer_nw12/DJI_20251016163705_0002_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
mem_bohrloch_set,"MEM Bohrlochschlämme 2×2,5 kg Waterdichte Mortel","Volledige set afdichtmortel voor kelder- en muurherstel. Eén emmer is verzegeld en één emmer is enkel geopend voor een proef, waardoor je meteen kunt beginnen met het volgende vochtwerende project.",28,EUR,nieuw_zonder_kaartje,bouwmaterialen,MEM,One size,"grijs|wit",unisex,mineraal,"MEM-BOHR-SET",1,"mem_bohrloch/DJI_20251016164852_0007_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
idomya_storage_set,"Idomya Stapelbare Opbergboxen 72 L - Set van 2","Twee ruime 72 liter opbergboxen met stevige clipsluitingen. De boxen zijn nog in de folie en perfect voor seizoensopslag, voorraadbeheer of een nette berging.",70,EUR,nieuw_met_kaartje,opbergboxen,Idomya,One size,"transparant|grijs",unisex,kunststof,"IDM-72L-SET",1,"idomya_boxes/DJI_20251016164549_0006_D.JPG|idomya_boxes/DJI_20251016164530_0005_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
bicycle_parking_rack,"Bicycle Parking Rack Vloerstandaard voor 1-2 Fietsen","Stabiel zwart stalen vloerrek dat tot twee fietsen rechtop houdt. De doos is compleet met montagemateriaal en handleiding, nog ongebruikt en direct inzetbaar voor garage of hal.",35,EUR,nieuw_zonder_kaartje,fietsrek,Generic,One size,"zwart",unisex,staal,"BIKE-RACK",1,"bike_rack/DJI_20251016163935_0003_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
tillvex_pool_cover,"Tillvex Solar-Poolfolie 800×500 cm Zwart","Zwarte noppenfolie voor rechthoekige zwembaden van 8×5 meter. De verpakking werd geopend voor controle, maar de folie is ongesneden en klaar voor een nieuw zwemseizoen.",75,EUR,nieuw_zonder_kaartje,zwembad_accessoires,tillvex,One size,"zwart",unisex,kunststof,"TWF-D21",1,"tillvex_pool_cover/DJI_20251016165130_0008_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
kiduku_car_seat,"KIDUKU Autostoel Groep 1/2/3 9-36 kg - Roze/Grijs","Meegroeiende kinderstoel met verstelbare hoofdsteun en zachte gordelpads. De stoel is ongebruikt, schoon en klaar voor veilige ritten voor kinderen van 9 tot 36 kilogram.",50,EUR,nieuw_zonder_kaartje,autostoel,KIDUKU,One size,"roze|grijs",unisex,"kunststof|textiel","KIDUKU-9136",1,"kiduku_seat/DJI_20251016165430_0009_D.JPG|kiduku_seat/DJI_20251016165454_0010_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
cst_city_tires_set,"CST C638 Stadsbanden 700×38C + Binnenbanden","Set van twee nieuwe stadsbanden met bijpassende binnenbanden met Presta-ventiel. Ideaal om een stads- of trekkingfiets meteen rijklaar te maken.",40,EUR,nieuw_met_kaartje,fietsbanden,CST,One size,"zwart",unisex,rubber,"CST-C638-SET",1,"cst_tires/DJI_20251016165852_0013_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
industrial_barstools_set,"Set van 2 Industriële Barkrukken","Twee stevige barkrukken met metalen frame en houtlook zitting. Ze zijn volledig nieuw en brengen een stoere industriële look naar keukenbar of studio.",60,EUR,nieuw_zonder_kaartje,barkrukken,Generic,One size,"zwart|houtkleur",unisex,"metaal|hout","BAR-INDUO",1,"barstools/DJI_20251016171314_0022_D.JPG|barstools/DJI_20251016171419_0030_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
hydraulic_hose_dn10,"Hydraulische Hogedrukslang 3/8\" DN10 met Koppelingen","Robuuste hydrauliekslang met geperste nippels, ongebruikt en netjes opgerold. Geschikt als reserveonderdeel voor machines of werkplaats.",35,EUR,nieuw_zonder_kaartje,industrie_slang,Generic,One size,"zwart",unisex,rubber,"DN10-1SN",1,"hydraulic_hose/DJI_20251016172140_0039_D.JPG|hydraulic_hose/DJI_20251016172230_0045_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
spin_wheel,"Rad van Fortuin Promotiewiel met Standaard","Kleurrijk dry-erase promowiel met aluminium standaard. Inclusief stift en wisser zodat je het direct kunt inzetten voor acties, events of spelavonden.",50,EUR,nieuw_zonder_kaartje,promotiewiel,Generic,One size,"multicolor",unisex,"kunststof|aluminium","PROMO-WHEEL",1,"spin_wheel/DJI_20251016172654_0049_D.JPG|spin_wheel/DJI_20251016172758_0054_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
manual_treadmill_white,"Compacte Mechanische Loopband Wit/Grijs","Opvouwbare loopband die zonder stroom werkt. Perfect om binnenshuis te wandelen of licht te joggen en geleverd met handleiding in nieuwe staat.",100,EUR,nieuw_zonder_kaartje,loopband,Generic,One size,"wit|grijs",unisex,"staal|kunststof","MAN-TREAD",1,"manual_treadmill/DJI_20251016173504_0057_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
outsunny_canopy_cover,"Outsunny Paviljoen Dakdoek 84C-629V00 Bruin","Reserve dakdoek voor een 3×3 m Outsunny paviljoen. Het doek is nieuw in de zak en ideaal als vervanging voor een versleten canopy.",50,EUR,nieuw_met_kaartje,partytent_dakdoek,Outsunny,One size,"bruin",unisex,polyester,"84C-629V00",1,"outsunny_canopy/DJI_20251016174306_0067_D.JPG|outsunny_canopy/DJI_20251016174431_0068_D.JPG",NL,1011AB,Amsterdam,"North Holland",TRUE,"PostNL|DPD|bpost",TRUE,BE,2000,Antwerpen
